0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:44:53 +0900] "GET /sistSemiProject0921final/audio/bgm.mp3 HTTP/1.1" 206 58752793
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:44:53 +0900] "GET /sistSemiProject0921final/jeju/b1.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:44:53 +0900] "GET /sistSemiProject0921final/jeju/android-icon-96x96.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:44:57 +0900] "POST /sistSemiProject0921final/login/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:44:57 +0900] "GET /sistSemiProject0921final/index.jsp?main=login/loginMain.jsp HTTP/1.1" 200 10973
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:44:57 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:44:57 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:44:57 +0900] "GET /sistSemiProject0921final/jeju/roopy.gif HTTP/1.1" 200 5020859
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:44:57 +0900] "GET /sistSemiProject0921final/mypage.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:44:57 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:44:57 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:44:57 +0900] "GET /sistSemiProject0921final/mypage.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:44:57 +0900] "GET /sistSemiProject0921final/jeju/login1.jpg HTTP/1.1" 200 169141
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:44:57 +0900] "GET /sistSemiProject0921final/audio/bgm.mp3 HTTP/1.1" 206 58752793
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/index.jsp HTTP/1.1" 200 31393
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/jeju/hamduk.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/jeju/aquaplanet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/jeju/spin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/jeju/yuchae.jpg HTTP/1.1" 304 -
